SystemCodeNumber,Capacity,Latitude,Longitude,Occupancy,VehicleType,TrafficConditionNearby,QueueLength,IsSpecialDay,Timestamp,Price_Model1,VehicleWeight,TrafficLevel,RawDemand,NormalizedDemand,Price_Model2,Price_Model3
BHMBCCMKT01,577,26.14453614,91.73617216,61,car,low,1,0,2016-10-04 07:59:00,10.0,1.0,0.2,1.6857192374350087,0.13427660766719898,11.61,12.19
BHMBCCMKT01,577,26.14453614,91.73617216,64,car,low,1,0,2016-10-04 08:25:00,10.21,1.0,0.2,1.6909185441941075,0.13479891537935662,11.62,11.04
BHMBCCMKT01,577,26.14453614,91.73617216,80,car,low,2,0,2016-10-04 08:59:00,10.43,1.0,0.2,2.5186481802426344,0.21795030315485645,12.62,11.99
BHMBCCMKT01,577,26.14453614,91.73617216,107,car,low,2,0,2016-10-04 09:32:00,10.71,1.0,0.2,2.5654419410745235,0.2226510725642754,12.67,12.04
BHMBCCMKT01,577,26.14453614,91.73617216,150,bike,low,2,0,2016-10-04 09:59:00,11.08,0.5,0.2,2.1899653379549395,0.18493175061795625,12.22,11.61
BHMBCCMKT01,577,26.14453614,91.73617216,177,car,low,3,0,2016-10-04 10:26:00,11.6,1.0,0.2,3.4867590987868287,0.31520399915861314,13.78,13.09
BHMBCCMKT01,577,26.14453614,91.73617216,219,truck,high,6,0,2016-10-04 10:59:00,12.21,1.5,1.0,5.929549393414213,0.5605998315616476,16.73,15.89
BHMBCCMKT01,577,26.14453614,91.73617216,247,car,average,5,0,2016-10-04 11:25:00,12.97,1.0,0.5,5.028076256499134,0.4700403794020449,15.64,14.86
BHMBCCMKT01,577,26.14453614,91.73617216,259,cycle,average,5,0,2016-10-04 11:59:00,13.83,0.3,0.5,4.4188734835355294,0.4088415847685316,14.91,15.66
BHMBCCMKT01,577,26.14453614,91.73617216,266,bike,high,8,0,2016-10-04 12:29:00,14.73,0.5,1.0,6.71100519930676,0.639102680698944,17.67,18.55
BHMBCCMKT01,577,26.14453614,91.73617216,269,car,high,7,0,2016-10-04 13:02:00,15.65,1.0,1.0,6.366204506065859,0.6044649742543552,17.25,18.11
BHMBCCMKT01,577,26.14453614,91.73617216,263,car,high,7,0,2016-10-04 13:29:00,16.58,1.0,1.0,6.355805892547662,0.6034203588300399,17.24,18.1
BHMBCCMKT01,577,26.14453614,91.73617216,238,car,high,5,0,2016-10-04 14:02:00,17.49,1.0,1.0,4.712478336221837,0.4383363012740747,15.26,14.5
BHMBCCMKT01,577,26.14453614,91.73617216,215,truck,average,3,0,2016-10-04 14:29:00,18.32,1.5,0.5,3.8226169844020803,0.34894333633829094,14.19,13.48
BHMBCCMKT01,577,26.14453614,91.73617216,192,bike,average,3,0,2016-10-04 14:57:00,19.06,0.5,0.5,2.882755632582323,0.25452751223725756,13.05,13.7
BHMBCCMKT01,577,26.14453614,91.73617216,165,car,low,2,0,2016-10-04 15:30:00,19.73,1.0,0.2,2.6659618717504334,0.2327490216659902,12.79,13.43
BHMBCCMKT01,577,26.14453614,91.73617216,162,bike,low,1,0,2016-10-04 16:04:00,20.3,0.5,0.2,1.4107625649913347,0.10665523482259462,11.28,11.84
BHMBCCMKT01,577,26.14453614,91.73617216,143,car,average,2,0,2016-10-04 16:31:00,20.86,1.0,0.5,2.4478336221837087,0.21083647211526907,12.53,11.9
BHMBCCMKT01,577,26.14453614,91.73617216,54,car,low,1,0,2016-10-05 07:57:00,21.36,1.0,0.2,1.6735875216637783,0.13305788967216445,11.6,11.02
BHMBCCMKT01,577,26.14453614,91.73617216,59,car,average,1,0,2016-10-05 08:30:00,21.55,1.0,0.5,1.5022530329289427,0.11584610953086226,11.39,11.96
BHMBCCMKT01,577,26.14453614,91.73617216,71,car,low,2,0,2016-10-05 09:04:00,21.75,1.0,0.2,2.503050259965338,0.21638338001838345,12.6,11.97
